query,startup,networking,reasoning
q1.n3,117,0,90
q10.n3,116,0,122
q11.n3,117,0,153
q12.n3,117,0,142
q13.n3,116,0,92
q14.n3,117,0,101
q15.n3,117,0,83
q16.n3,116,0,114
q17.n3,116,0,92
q18.n3,116,0,74
q19.n3,117,0,81
q2.n3,116,0,93
q20.n3,117,0,149
q21.n3,116,0,174
q22.n3,115,0,123
q23.n3,116,0,358
q24.n3,115,0,122
q25.n3,115,0,209
q3.n3,116,0,110
q4.n3,116,0,94
q5.n3,115,0,104
q6.n3,115,0,116
q7.n3,116,0,131
q8.n3,116,0,133
q9.n3,116,0,162
avg:,116.08,0,128.88
sepsis_multi.n3,117,0,619
