query,startup,networking,reasoning,total
q1.n3,25,512,28,565
q10.n3,23,507,44,574
q11.n3,23,511,68,602
q12.n3,23,509,54,586
q13.n3,23,510,27,560
q14.n3,23,509,32,564
q15.n3,23,508,18,549
q16.n3,23,508,43,574
q17.n3,23,507,24,554
q18.n3,23,514,11,548
q19.n3,23,507,19,549
q2.n3,23,509,23,555
q20.n3,23,511,58,592
q21.n3,23,511,76,610
q22.n3,23,508,52,583
q23.n3,23,507,44,574
q24.n3,23,512,50,585
q25.n3,23,510,89,622
q3.n3,23,508,42,573
q4.n3,23,510,33,566
q5.n3,23,510,27,560
q6.n3,23,511,34,568
q7.n3,23,510,54,587
q8.n3,23,509,53,585
q9.n3,23,521,68,612
,,,,
avg,23.08,509.96,42.84,575.88
