query,startup,networking,reasoning,total
q1.n3,120,0,94,214
q10.n3,119,0,122,241
q11.n3,119,0,155,274
q12.n3,119,0,142,261
q13.n3,118,0,94,212
q14.n3,118,0,102,220
q15.n3,118,1,85,204
q16.n3,117,1,115,233
q17.n3,120,1,96,217
q18.n3,118,1,75,194
q19.n3,120,1,82,203
q2.n3,117,0,100,217
q20.n3,118,0,150,268
q21.n3,118,0,177,295
q22.n3,120,0,120,240
q23.n3,119,0,366,485
q24.n3,120,0,129,249
q25.n3,118,0,233,351
q3.n3,117,1,117,235
q4.n3,119,0,101,220
q5.n3,117,0,113,230
q6.n3,117,1,128,246
q7.n3,116,0,134,250
q8.n3,116,0,133,249
q9.n3,116,0,164,280
,,,,
avg,118.16,0.28,133.08,251.52
